iter	Passed	Remaining
0	2	222
1	3	190
2	5	184
3	7	179
4	9	175
5	10	163
6	11	150
7	12	140
8	13	135
9	14	130
10	15	127
11	17	127
12	18	124
13	20	123
14	21	122
15	23	121
16	24	120
17	26	120
18	27	116
19	28	113
20	29	110
21	30	108
22	31	107
23	33	105
24	34	103
25	35	102
26	37	100
27	38	99
28	39	97
29	41	96
30	42	93
31	42	90
32	43	88
33	44	86
34	45	84
35	46	82
36	47	80
37	48	79
38	49	78
39	51	76
40	52	75
41	53	73
42	53	71
43	54	69
44	56	68
45	57	67
46	57	65
47	58	63
48	59	61
49	60	60
50	61	58
51	62	57
52	62	55
53	63	54
54	64	52
55	65	51
56	66	49
57	67	48
58	68	47
59	68	45
60	69	44
61	70	43
62	71	42
63	72	40
64	73	39
65	73	38
66	74	36
67	75	35
68	75	34
69	76	32
70	77	31
71	77	30
72	78	29
73	79	27
74	80	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	18
82	87	17
83	88	16
84	89	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	98	3
97	99	2
98	100	1
99	100	0
