iter	Passed	Remaining
0	161	161301
1	162	81240
2	164	54503
3	165	41171
4	166	33185
5	168	27836
6	169	23987
7	170	21081
8	170	18821
9	171	17017
10	172	15543
11	173	14283
12	174	13215
13	174	12299
14	175	11499
15	175	10799
16	176	10181
17	176	9630
18	177	9138
19	177	8696
20	177	8296
21	178	7935
22	179	7609
23	179	7311
24	180	7038
25	181	6785
26	181	6550
27	182	6336
28	183	6132
29	183	5943
30	184	5767
31	185	5602
32	185	5446
33	186	5297
34	187	5156
35	187	5022
36	188	4896
37	188	4778
38	189	4665
39	189	4558
40	190	4455
41	191	4357
42	191	4262
43	192	4173
44	192	4088
45	193	4009
46	194	3934
47	194	3861
48	195	3792
49	196	3726
50	196	3660
51	197	3599
52	197	3537
53	198	3477
54	199	3419
55	199	3364
56	200	3312
57	200	3261
58	201	3216
59	202	3169
60	202	3123
61	203	3078
62	204	3034
63	204	2991
64	205	2950
65	205	2909
66	206	2870
67	206	2833
68	207	2797
69	208	2765
70	208	2731
71	209	2699
72	210	2667
73	210	2636
74	211	2606
75	212	2578
76	212	2551
77	213	2523
78	214	2495
79	214	2469
80	215	2443
81	215	2417
82	216	2389
83	216	2365
84	217	2340
85	218	2317
86	218	2294
87	219	2271
88	219	2248
89	220	2226
90	220	2204
91	221	2182
92	221	2161
93	222	2142
94	222	2123
95	223	2105
96	224	2087
97	224	2069
98	225	2051
99	226	2034
100	226	2016
101	227	1999
102	227	1982
103	228	1965
104	228	1948
105	229	1932
106	229	1916
107	230	1900
108	230	1885
109	231	1870
110	231	1855
111	232	1840
112	232	1825
113	233	1811
114	233	1797
115	234	1783
116	234	1769
117	234	1756
118	235	1743
119	235	1730
120	236	1718
121	237	1707
122	238	1697
123	238	1686
124	239	1675
125	240	1665
126	240	1653
127	241	1642
128	241	1632
129	242	1621
130	242	1610
131	243	1600
132	243	1589
133	244	1579
134	245	1570
135	245	1560
136	246	1550
137	246	1540
138	247	1531
139	247	1521
140	248	1511
141	248	1501
142	248	1491
143	249	1482
144	249	1473
145	250	1464
146	251	1456
147	251	1448
148	252	1440
149	253	1436
150	254	1428
151	254	1421
152	255	1413
153	255	1405
154	256	1397
155	256	1389
156	257	1381
157	257	1373
158	258	1366
159	258	1358
160	259	1350
161	259	1343
162	260	1335
163	260	1328
164	261	1321
165	261	1314
166	262	1307
167	262	1300
168	263	1293
169	263	1287
170	264	1280
171	264	1273
172	265	1267
173	265	1261
174	266	1256
175	267	1251
176	267	1245
177	268	1239
178	269	1235
179	269	1229
180	270	1224
181	271	1218
182	271	1213
183	272	1208
184	273	1203
185	273	1197
186	274	1191
187	274	1186
188	275	1181
189	275	1175
190	276	1170
191	276	1165
192	277	1159
193	277	1154
194	278	1148
195	278	1143
196	279	1138
197	279	1133
198	280	1128
199	281	1124
200	281	1120
201	282	1115
202	283	1111
203	283	1106
204	284	1102
205	284	1097
206	285	1092
207	285	1087
208	286	1082
209	286	1078
210	287	1073
211	287	1069
212	288	1064
213	288	1060
214	289	1055
215	289	1051
216	290	1047
217	290	1042
218	291	1038
219	291	1033
220	292	1029
221	292	1025
222	293	1021
223	293	1017
224	294	1012
225	294	1009
226	295	1005
227	295	1001
228	296	998
229	297	995
230	297	991
231	298	988
232	299	984
233	299	980
234	300	977
235	300	973
236	301	970
237	301	966
238	302	962
239	302	959
240	303	955
241	303	952
242	304	948
243	305	945
244	305	941
245	306	938
246	306	934
247	307	931
248	307	927
249	308	924
250	308	920
251	309	917
252	309	914
253	310	911
254	310	908
255	311	905
256	312	902
257	312	899
258	313	896
259	313	892
260	314	889
261	314	886
262	315	883
263	315	880
264	316	877
265	316	874
266	317	870
267	317	867
268	318	864
269	318	861
270	319	858
271	319	855
272	320	852
273	320	849
274	321	846
275	321	843
276	322	840
277	322	837
278	323	835
279	323	832
280	324	830
281	325	827
282	325	825
283	326	822
284	326	820
285	327	817
286	327	814
287	328	812
288	329	809
289	329	807
290	330	804
291	330	802
292	331	799
293	331	796
294	332	794
295	332	791
296	333	789
297	334	786
298	334	784
299	334	781
300	335	779
301	335	776
302	336	775
303	337	772
304	338	770
305	338	768
306	339	765
307	339	763
308	340	761
309	340	758
310	341	756
311	341	754
312	342	751
313	343	749
314	343	746
315	344	744
316	344	742
317	344	739
318	345	737
319	345	735
320	346	732
321	346	730
322	347	728
323	347	725
324	348	723
325	348	721
326	349	719
327	349	716
328	350	714
329	350	712
330	351	710
331	351	708
332	352	705
333	353	703
334	353	702
335	354	700
336	354	698
337	355	696
338	356	694
339	356	692
340	357	691
341	358	689
342	358	687
343	359	685
344	359	683
345	360	681
346	361	679
347	361	677
348	362	675
349	362	673
350	363	671
351	363	669
352	364	667
353	364	665
354	365	663
355	365	661
356	366	659
357	366	657
358	367	656
359	368	654
360	368	652
361	369	650
362	369	648
363	370	647
364	370	645
365	371	643
366	371	641
367	372	639
368	373	637
369	373	636
370	374	634
371	374	632
372	374	630
373	375	628
374	376	626
375	376	624
376	377	623
377	377	621
378	378	619
379	378	617
380	379	616
381	379	614
382	380	612
383	381	611
384	381	609
385	382	608
386	383	606
387	383	605
388	384	603
389	385	602
390	385	600
391	386	599
392	387	597
393	387	596
394	388	594
395	388	592
396	389	591
397	389	589
398	390	587
399	390	586
400	391	584
401	391	582
402	392	581
403	393	579
404	393	578
405	393	576
406	394	574
407	394	573
408	395	571
409	395	569
410	396	568
411	397	566
412	397	565
413	398	563
414	398	561
415	399	560
416	399	558
417	400	557
418	400	555
419	401	553
420	401	552
421	402	550
422	402	549
423	403	547
424	403	546
425	404	544
426	404	543
427	405	541
428	405	540
429	406	538
430	406	536
431	407	535
432	407	533
433	408	532
434	408	530
435	409	529
436	409	527
437	410	526
438	410	524
439	411	523
440	411	521
441	412	520
442	412	519
443	413	518
444	414	516
445	414	515
446	415	513
447	415	512
448	416	511
449	417	509
450	417	508
451	418	507
452	418	505
453	419	504
454	420	503
455	420	501
456	421	500
457	421	499
458	422	497
459	422	496
460	423	494
461	423	493
462	424	491
463	424	490
464	425	489
465	425	487
466	426	486
467	426	485
468	427	483
469	427	482
470	428	481
471	429	479
472	429	478
473	430	477
474	430	476
475	431	474
476	431	473
477	432	472
478	432	470
479	433	469
480	433	468
481	434	466
482	434	465
483	435	464
484	435	462
485	436	461
486	436	460
487	437	458
488	437	457
489	438	456
490	438	454
491	439	453
492	439	452
493	440	451
494	441	450
495	441	448
496	442	447
497	442	446
498	443	445
499	444	444
500	444	442
501	445	441
502	445	440
503	446	439
504	447	438
505	447	437
506	448	435
507	448	434
508	449	433
509	449	432
510	450	431
511	450	429
512	451	428
513	451	427
514	452	426
515	452	424
516	453	423
517	453	422
518	454	421
519	454	419
520	455	418
521	456	417
522	456	416
523	457	415
524	458	414
525	458	413
526	459	412
527	460	411
528	460	410
529	461	409
530	462	408
531	462	407
532	463	405
533	463	404
534	464	403
535	464	402
536	465	401
537	465	400
538	466	398
539	466	397
540	467	396
541	467	395
542	468	394
543	468	392
544	469	391
545	469	390
546	470	389
547	471	388
548	471	387
549	472	386
550	472	385
551	473	384
552	474	383
553	474	382
554	475	380
555	475	379
556	476	378
557	476	377
558	476	376
559	477	375
560	477	374
561	478	372
562	478	371
563	479	370
564	479	369
565	480	368
566	480	367
567	481	366
568	481	365
569	482	363
570	482	362
571	483	361
572	483	360
573	484	359
574	485	358
575	485	357
576	486	356
577	487	355
578	488	354
579	488	353
580	489	352
581	489	351
582	490	350
583	491	349
584	491	348
585	492	347
586	493	346
587	493	345
588	494	344
589	495	344
590	495	342
591	496	341
592	496	340
593	497	339
594	497	338
595	498	337
596	498	336
597	499	335
598	500	335
599	501	334
600	502	333
601	502	332
602	503	331
603	503	330
604	504	329
605	504	328
606	505	327
607	505	326
608	506	325
609	507	324
610	507	323
611	508	322
612	508	321
613	509	320
614	509	319
615	510	318
616	510	317
617	511	316
618	511	315
619	512	314
620	512	313
621	513	312
622	514	311
623	515	310
624	516	309
625	517	308
626	517	307
627	518	307
628	519	306
629	519	305
630	520	304
631	521	303
632	521	302
633	522	301
634	522	300
635	523	299
636	523	298
637	524	297
638	525	296
639	525	295
640	525	294
641	526	293
642	526	292
643	527	291
644	528	290
645	528	289
646	529	288
647	530	287
648	530	287
649	531	286
650	531	285
651	532	284
652	533	283
653	533	282
654	534	281
655	534	280
656	535	279
657	535	278
658	536	277
659	536	276
660	536	275
661	537	274
662	537	273
663	538	272
664	538	271
665	539	270
666	539	269
667	540	268
668	540	267
669	541	266
670	541	265
671	542	264
672	543	263
673	543	263
674	544	262
675	545	261
676	546	260
677	546	259
678	547	258
679	547	257
680	548	256
681	549	256
682	549	255
683	550	254
684	550	253
685	551	252
686	551	251
687	552	250
688	553	249
689	553	248
690	554	247
691	554	246
692	555	245
693	555	244
694	556	244
695	557	243
696	558	242
697	559	241
698	560	241
699	560	240
700	561	239
701	562	238
702	563	237
703	563	236
704	564	236
705	564	235
706	565	234
707	565	233
708	566	232
709	566	231
710	567	230
711	567	229
712	568	228
713	568	227
714	569	226
715	569	226
716	570	225
717	570	224
718	571	223
719	572	222
720	572	221
721	573	220
722	574	219
723	574	219
724	575	218
725	575	217
726	576	216
727	577	215
728	577	214
729	578	213
730	579	213
731	579	212
732	580	211
733	580	210
734	581	209
735	581	208
736	582	207
737	582	206
738	583	206
739	583	205
740	584	204
741	584	203
742	585	202
743	585	201
744	586	200
745	587	199
746	587	199
747	588	198
748	589	197
749	589	196
750	590	195
751	590	194
752	591	193
753	591	193
754	592	192
755	592	191
756	593	190
757	593	189
758	594	188
759	594	187
760	595	186
761	595	186
762	596	185
763	596	184
764	597	183
765	597	182
766	598	181
767	598	180
768	599	180
769	599	179
770	600	178
771	600	177
772	601	176
773	602	175
774	603	175
775	603	174
776	604	173
777	605	172
778	605	171
779	606	171
780	607	170
781	607	169
782	608	168
783	609	167
784	609	166
785	610	166
786	610	165
787	611	164
788	611	163
789	612	162
790	612	161
791	613	161
792	613	160
793	614	159
794	614	158
795	615	157
796	616	156
797	616	156
798	617	155
799	618	154
800	618	153
801	619	152
802	619	152
803	620	151
804	621	150
805	621	149
806	622	148
807	622	147
808	623	147
809	623	146
810	624	145
811	624	144
812	625	143
